"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Lao People's Democratic Republic","1","0","1","2","0","3","34","56","103","193","0","95","1,525","222","2,036"
"Malaysia","1","0","1","13","0","14","93","166","425","684","3","434","4,094","498","5,714"
"Maldives","0","0","0","0","0","0","6","17","58","81","2","93","1,343","74","1,593"
"Myanmar","0","0","0","1","0","1","38","75","169","282","3","261","3,222","441","4,209"
"Nepal","0","0","0","0","0","0","14","24","55","93","0","66","1,266","65","1,490"
"Philippines","0","0","0","1","0","1","66","175","404","645","5","349","3,634","606","5,239"
"Singapore","1","0","1","1","0","2","21","41","202","264","3","231","1,848","155","2,502"
"Sri Lanka","20","0","20","9","0","29","80","121","144","345","2","174","2,042","172","2,755"
"Thailand","2","0","2","4","0","6","57","110","330","497","2","372","3,962","531","5,366"
"Timor-Leste","0","0","0","0","0","0","8","14","18","40","0","35","1,391","60","1,526"
"Viet Nam","1","0","1","8","0","9","72","140","272","484","2","256","3,378","651","4,772"
"Angola","0","0","0","0","0","0","16","37","77","130","0","64","2,503","230","2,927"
"Benin","0","0","0","0","0","0","15","22","52","89","0","52","1,723","107","1,971"
"Botswana","0","0","0","0","0","0","4","8","19","31","0","29","1,031","10","1,101"
"Burkina Faso","0","1","1","0","0","1","7","8","15","30","0","21","801","7","860"
"Burundi","0","0","0","0","0","0","6","15","34","55","0","39","1,059","36","1,189"
"Cabo Verde","1","0","1","0","0","1","9","21","37","67","0","31","900","97","1,096"
"Cameroon","0","0","0","6","0","6","66","109","119","294","0","83","2,669","211","3,257"
"Central African Republic","0","0","0","0","0","0","9","10","27","46","0","28","1,390","50","1,514"
"Chad","0","1","1","1","0","2","11","8","26","45","0","21","849","14","930"
"Comoros","0","0","0","1","0","1","7","27","85","119","0","110","1,340","79","1,648"
"Congo","0","0","0","0","0","0","10","22","66","98","0","49","2,022","144","2,313"
"Congo, The Democratic Republic of the","0","0","0","4","0","4","31","79","152","262","0","96","3,615","426","4,399"
"Côte d'Ivoire","0","0","0","2","0","2","19","45","90","154","0","84","2,036","143","2,417"
"Djibouti","0","0","0","0","0","0","11","14","84","109","0","123","1,462","112","1,806"
"Equatorial Guinea","0","0","0","0","0","0","16","31","52","99","0","44","1,584","114","1,841"
"Eritrea","0","0","0","0","0","0","16","22","102","140","0","137","1,605","120","2,002"
"Eswatini","0","0","0","0","0","0","4","7","19","30","0","22","791","6","849"
"Ethiopia","0","0","0","2","0","2","17","38","62","117","0","46","1,368","63","1,594"
"Gabon","0","0","0","0","0","0","12","33","67","112","0","49","2,057","166","2,384"
"Gambia","0","0","0","0","0","0","16","17","48","81","0","47","1,530","114","1,772"
"Ghana","0","0","0","3","0","3","26","32","84","142","0","79","2,121","136","2,478"
"Guinea","0","0","0","1","0","1","22","59","100","181","0","84","2,018","161","2,444"
"Guinea-Bissau","0","0","0","0","0","0","13","20","51","84","0","50","1,504","113","1,751"
"Kenya","2","0","2","17","0","19","55","64","158","277","2","183","3,302","249","4,015"
"Lesotho","0","0","0","0","0","0","0","7","9","16","0","19","408","3","446"
"Liberia","0","0","0","2","0","2","23","49","68","140","0","75","1,779","131","2,125"
"Madagascar","13","0","13","9","0","22","151","305","311","767","2","274","2,365","424","3,845"
"Malawi","1","0","1","5","0","6","28","25","36","89","0","65","1,473","58","1,686"
"Mali","0","1","1","0","0","1","7","9","27","43","0","23","974","12","1,053"
"Mauritania","0","1","1","0","0","1","15","22","58","95","0","51","1,442","124","1,713"
"Mauritius","44","0","44","1","0","45","19","41","123","183","2","118","1,481","141","1,969"
"Mayotte","5","0","5","0","0","5","2","16","81","99","0","108","1,204","61","1,477"
"Mozambique","1","0","1","2","0","3","22","54","147","223","2","190","3,229","228","3,873"
"Namibia","1","0","1","0","0","1","10","27","55","92","0","50","1,775","103","2,021"
"Niger","0","1","1","0","0","1","6","8","22","36","0","20","723","7","787"
"Nigeria","0","1","1","3","0","4","28","54","92","174","0","76","2,465","153","2,869"
"Réunion","20","0","20","1","0","21","10","24","92","126","0","102","1,300","95","1,643"
