Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Malaysia,1,1,2,17,2,21,168,277,614,1059,102,202,1542,111,3018
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49
Myanmar,0,0,0,1,0,1,12,38,31,81,0,31,1080,41,1233
Nepal,0,0,0,0,0,0,2,8,9,19,0,2,651,14,686
Philippines,0,0,0,3,0,3,60,100,140,300,3,43,916,43,1305
Singapore,0,0,0,0,0,0,11,17,42,70,8,31,420,9,538
Sri Lanka,1,0,1,0,0,1,83,79,136,298,3,9,593,6,910
Thailand,0,0,0,0,0,0,18,77,96,191,2,61,1303,88,1645
Timor-Leste,0,0,0,0,0,0,1,3,1,5,0,1,190,2,198
Viet Nam,0,1,1,1,1,3,56,94,111,261,1,51,1236,94,1644
Angola,0,0,0,1,0,1,1,8,34,43,0,19,1100,60,1222
Benin,0,0,0,0,0,0,0,4,16,20,0,7,678,2,707
Botswana,0,0,0,0,0,0,0,1,2,3,0,2,545,9,559
Burkina Faso,0,0,0,0,0,0,0,2,3,5,0,3,476,4,488
Burundi,0,0,0,16,1,17,22,63,49,134,1,17,561,9,722
Cabo Verde,2,0,2,0,0,2,17,27,7,51,0,7,70,9,139
Cameroon,1,0,1,4,1,6,112,171,308,591,2,75,1264,30,1963
Central African Republic,0,0,0,0,0,0,1,7,21,29,1,10,791,8,839
Chad,0,0,0,0,0,0,1,2,4,7,0,2,465,5,479
Comoros,0,0,0,0,0,0,2,5,2,9,0,0,111,0,120
Congo,0,0,0,0,0,0,1,11,44,56,1,14,844,5,920
"Congo, The Democratic Republic of the",2,0,2,4,0,6,15,83,141,239,3,49,1418,44,1755
Côte d'Ivoire,2,0,2,1,0,3,5,27,101,133,1,33,894,9,1072
Djibouti,0,0,0,0,0,0,0,2,1,3,0,0,110,0,113
Equatorial Guinea,0,0,0,0,0,0,2,31,72,105,0,31,565,8,709
Eritrea,0,0,0,0,0,0,0,2,4,6,0,5,231,2,244
Eswatini,0,1,1,0,0,1,2,3,8,13,1,2,467,4,488
Ethiopia,0,0,0,3,0,3,10,26,28,64,1,29,806,19,919
Gabon,0,0,0,4,0,4,12,59,147,218,1,44,903,16,1182
Gambia,0,0,0,0,0,0,0,1,7,8,0,2,283,1,294
Ghana,0,0,0,0,0,0,3,28,93,124,1,22,876,9,1032
Guinea,0,0,0,14,0,14,32,86,72,190,1,31,745,13,980
Guinea-Bissau,0,0,0,0,0,0,1,1,10,12,0,8,417,2,439
Kenya,0,0,0,1,0,1,25,115,156,296,1,61,1091,22,1471
Lesotho,0,0,0,0,0,0,0,1,3,4,0,1,171,1,177
Liberia,0,0,0,1,0,1,3,24,59,86,0,17,606,3,712
Madagascar,0,1,1,97,7,105,400,1092,742,2234,0,177,1238,63,3713
Malawi,0,0,0,0,0,0,1,20,25,46,1,9,870,24,950
Mali,0,0,0,0,0,0,3,14,11,28,0,9,515,13,565
Mauritania,0,0,0,0,0,0,0,0,0,0,0,1,188,0,189
Mauritius,1,0,1,0,0,1,64,17,11,92,0,0,137,1,231
Mayotte,0,0,0,0,0,0,0,3,1,4,0,0,42,0,46
Mozambique,0,0,0,1,0,1,21,93,128,242,0,35,1099,46,1422
Namibia,0,0,0,1,0,1,3,4,21,28,0,11,637,10,686
Niger,0,0,0,0,0,0,0,1,3,4,0,2,316,5,327
Nigeria,0,0,0,1,0,1,17,41,150,208,2,34,1158,12,1414
Réunion,0,0,0,0,0,0,9,8,4,21,0,1,84,2,108
Rwanda,0,1,1,3,0,4,4,52,56,112,1,17,601,7,739
"Saint Helena, Ascension and Tristan da Cunha",8,2,10,0,0,10,27,6,11,44,0,1,25,5,85
Sao Tome and Principe,2,0,2,0,0,2,1,16,32,49,0,13,145,0,209
Senegal,2,0,2,0,0,2,1,9,14,24,0,9,609,8,652
Seychelles,2,0,2,0,0,2,17,13,32,62,0,7,95,0,166
Sierra Leone,1,0,1,1,0,2,8,36,74,118,1,24,674,9,827
Somalia,0,0,0,0,0,0,3,22,30,55,0,44,384,13,496
South Africa,0,3,3,5,3,11,31,44,80,155,4,48,1164,37,1411
South Sudan,0,0,0,0,0,0,0,4,14,18,1,7,477,2,505
Sudan,0,0,0,0,0,0,1,3,15,19,1,5,578,5,608
"Tanzania, United Republic of",0,0,0,27,1,28,83,359,339,781,2,78,1454,60,2375
Togo,0,0,0,0,0,0,0,3,11,14,0,5,590,2,611
Uganda,0,0,0,3,0,3,8,33,66,107,1,26,977,13,1124
Zambia,0,0,0,0,0,0,3,13,17,33,0,18,957,36,1044
Zimbabwe,0,0,0,0,2,2,2,21,49,72,0,21,981,19,1093
Afghanistan,0,0,0,0,0,0,1,2,2,5,0,6,310,13,334
Armenia,0,0,0,0,0,0,18,43,15,76,0,12,240,36,364
Azerbaijan,0,0,0,0,0,0,7,18,21,46,0,17,257,25,345
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22
Cyprus,0,0,0,0,0,0,7,5,11,23,0,10,224,11,268
Georgia,0,0,0,0,0,0,9,16,39,64,0,13,315,27,419
"Iran, Islamic Republic of",0,0,0,0,0,0,2,6,4,12,0,10,412,30,464
